"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Pasteurellaceae","Corynebacteriaceae","Peptococcaceae","Pseudomonadaceae","Lactobacillaceae","Blastocatellaceae_Subgroup_4_","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","WCHB1_32(class)","Sphingomonadaceae","DA101_soil_group","Burkholderiaceae","Family_XI","Sphingobacteriaceae","Coriobacteriaceae","Solibacteraceae_Subgroup_3_","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Leuconostocaceae","Opitutaceae","Fusobacteriaceae","Caulobacteraceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Moraxellaceae","Hyphomicrobiaceae","Oxalobacteraceae","Thermaceae","Flavobacteriaceae","Cellulomonadaceae","Eubacteriaceae","Cytophagaceae","Brucellaceae","Rikenellaceae","Micrococcaceae","Gastranaerophilales(order)","Subgroup_6(class)","uncultured","Methylobacteriaceae","Mollicutes_RF9(order)","Micromonosporaceae","Erythrobacteraceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Unknown_Family","Anaerolineaceae","Chromatiaceae","OPB56","Rhodospirillaceae","Thermoanaerobacteraceae","Chitinophagaceae","Synergistaceae","vadinBE97","NS11_12_marine_group","Nocardiaceae","Nocardioidaceae","Methanobacteriaceae","Microbacteriaceae","Neisseriaceae","Rhizobiaceae","Victivallaceae","Planctomycetaceae","env_OPS_17","Intrasporangiaceae","Defluviitaleaceae","Thermoplasmatales_Incertae_Sedis","Xanthobacteraceae","Streptomycetaceae","Chloroplast(class)","Family_X","Staphylococcaceae","Desulfovibrionaceae","Campylobacteraceae","Bacteroidetes_vadinHA17(class)","Acidimicrobiaceae","Coxiellaceae","Enterobacteriaceae","Leptotrichiaceae","Carnobacteriaceae","Acidobacteriaceae_Subgroup_1_","Tectomicrobia(phylum)","Geodermatophilaceae","Brevibacteriaceae","Xanthomonadaceae","Methylophilaceae","OPB35_soil_group(class)","Solirubrobacteraceae","ML635J_21(class)","Bacillaceae","FamilyI","Roseiarcaceae","Anaeroplasmataceae","Verrucomicrobiaceae","uncultured(class)","Helicobacteraceae","Clostridiaceae_1","TK10(class)","Candidatus_Nomurabacteria(class)","Aeromonadaceae","Paenibacillaceae","SC_I_84(order)","Propionibacteriaceae","Bogoriellaceae","Gemmatimonadaceae","Sanguibacteraceae","Bradyrhizobiaceae","Cellvibrionaceae","Myxococcaceae","Subgroup_2(class)","Elev_16S_1332","Rhodocyclaceae","Dermabacteraceae","JG30_KF_CM45(order)","Pseudonocardiaceae"
"X206629",0.000425079702444,0.0,0.0,0.0,0.0,0.0,0.0916046758767,0.0167906482465,0.00595111583422,0.0,0.00297555791711,0.000425079702444,0.0,0.61211477152,0.0227417640808,0.00531349628055,0.0505844845909,0.0,0.0,0.00403825717322,0.0,0.0,0.0108395324123,0.0,0.000425079702444,0.0,0.0792773645058,0.00148777895855,0.00552603613177,0.0,0.0,0.0,0.00595111583422,0.00297555791711,0.00531349628055,0.0,0.0,0.007651434644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00255047821467,0.0,0.0,0.00297555791711,0.00488841657811,0.0,0.0,0.0,0.00935175345377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000212539851222,0.0,0.0,0.0,0.0161530286929,0.0,0.0,0.0,0.0,0.0,0.0282678002125,0.0,0.000637619553666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00255047821467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.0,0.0,0.014598540146,0.0,0.0,0.0,0.341240875912,0.0,0.0,0.0,0.0,0.0,0.0,0.313868613139,0.0529197080292,0.00729927007299,0.0109489051095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125912408759,0.0,0.0237226277372,0.0,0.0,0.0,0.0,0.0,0.0346715328467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200729927007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182481751825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237226277372,0.00729927007299,0.0,0.0,0.0,0.0,0.00547445255474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206635",0.0,0.0,0.00216398172638,0.0,0.000721327242126,0.0,0.547327081831,0.00088162218482,4.00737356736e-05,0.000561032299431,0.0,0.00120221207021,0.0,0.184459405306,0.0149875771419,0.00677246132885,0.00284523523283,0.0,0.0,0.0,0.0,0.0,8.01474713473e-05,0.0,4.00737356736e-05,0.0,0.190270096978,0.0,0.0134247014507,0.00120221207021,0.0,0.0,0.000120221207021,0.0,0.0218802596778,0.0,8.01474713473e-05,4.00737356736e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088162218482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00561032299431,0.0,0.0,0.0,8.01474713473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01474713473e-05,0.0,0.0,0.0,0.0,0.0,4.00737356736e-05,0.000921695920494,0.0,0.0,0.0,0.0,0.00236435040474,8.01474713473e-05,0.000240442414042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000520958563757,0.0,0.0,8.01474713473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.0,0.0,0.000510290865794,0.0,0.00102058173159,0.0,0.0683789760163,0.0146283381527,0.0,0.0,0.0,0.0,0.0,0.385949991495,0.0,0.0023813573737,0.014118047287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000170096955265,0.0,0.491410103759,0.0,0.000850484776323,0.000510290865794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000170096955265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000340193910529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000510290865794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00102058173159,0.0,0.000340193910529,0.0,0.0,0.0,0.0171797924817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000510290865794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206643",0.0,0.0,0.0,0.0,0.00117036061737,0.0,0.0832418989101,0.0324775071319,0.000512032770097,0.0,7.31475385853e-05,0.0,0.0,0.445614805062,0.0,0.00190183600322,0.0144100651013,0.0,0.0,0.0,0.0,0.0,0.000804622924439,0.0,0.000219442615756,0.0,0.388632872504,0.0,0.00731475385853,0.00124350815595,0.0,0.0,0.0,0.0,0.000585180308683,0.000219442615756,7.31475385853e-05,0.00138980323312,0.0,0.000365737692927,0.0,0.0,0.0,0.0,0.0,0.0,0.000146295077171,0.000438885231512,0.0,0.0,0.0,0.000585180308683,0.0,0.0,0.0,0.0,0.000585180308683,0.0,0.0,0.0,0.000146295077171,0.000146295077171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146295077171,0.0,0.0,0.0,0.0,0.0,0.0168970814132,0.0,0.000292590154341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146295077171,0.000219442615756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206670",0.0,0.000374868795921,0.00254910781227,3.74868795921e-05,0.00123706702654,0.0,0.2426525716,0.000224921277553,0.0,0.000224921277553,0.000112460638776,0.0,0.0,0.231706402759,0.0299895036737,0.0390238416554,0.0145074224022,0.000149947518369,0.0,0.0,0.0,0.0,3.74868795921e-05,0.0,0.000112460638776,0.0,0.301319538162,0.0,0.00123706702654,0.000262408157145,0.0,0.0,0.000412355675514,0.0,0.00052481631429,0.0,0.0,3.74868795921e-05,0.0,0.0,0.0,0.0,0.0,0.000337381916329,0.0,0.0,0.0620782726046,3.74868795921e-05,0.00146198830409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000112460638776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692382666067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206669",0.0,0.0,0.0,0.0,0.0,0.0,0.0212765957447,0.0106382978723,0.0851063829787,0.0,0.510638297872,0.0,0.0,0.0425531914894,0.0,0.0212765957447,0.0106382978723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106382978723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531914893617,0.0,0.0,0.0,0.0,0.0,0.0957446808511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212765957447,0.0,0.0,0.0,0.0,0.0744680851064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206676",0.0,0.0,0.00259201658891,0.000345602211854,0.00397442543632,0.0,0.279937791602,0.0,0.00259201658891,0.000172801105927,0.016588906169,0.0,0.0,0.410748228789,0.0240193537239,0.0,0.000172801105927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144116122343,0.00432002764818,0.00293761880076,0.00138240884742,0.0,0.0,0.00725764644894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416450665284,0.00120960774149,0.0,0.0,0.0,0.0,0.000345602211854,0.0,0.0,0.0245377570416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000172801105927,0.0138240884742,0.0,0.0,0.0,0.0,0.00777604976672,0.0,0.00155520995334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000172801105927,0.0,0.0,0.00760324866079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206675",0.0,0.0,0.0,0.000253164556962,0.00253164556962,0.0,0.323544303797,0.0,0.0,0.000759493670886,0.00379746835443,0.00227848101266,0.0,0.269113924051,0.0154430379747,0.00151898734177,0.00632911392405,0.0,0.0,0.0,0.0,0.0,0.00759493670886,0.0,0.00126582278481,0.0,0.247848101266,0.00303797468354,0.00405063291139,0.000506329113924,0.0,0.0,0.0,0.000759493670886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000253164556962,0.0,0.0,0.0,0.0572151898734,0.000506329113924,0.0,0.0,0.0,0.0,0.00278481012658,0.0,0.0,0.0194936708861,0.0,0.0,0.00101265822785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000506329113924,0.0,0.00151898734177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000759493670886,0.000506329113924,0.00177215189873,0.0,0.0,0.0,0.0,0.0111392405063,0.0,0.00177215189873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00835443037975,0.0,0.0,0.0,0.0,0.0,0.0,0.00126582278481,0.0,0.0,0.0,0.000506329113924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206677",0.0,0.000258464719566,0.0,0.00155078831739,0.00271387955544,0.000258464719566,0.252649263376,0.166192814681,0.0,0.0,0.00426466787284,0.0,0.00271387955544,0.256267769449,0.000258464719566,0.0138278624968,0.0121478418196,0.0,0.0,0.000646161798914,0.0,0.0,0.00504006203153,0.0060739209098,0.000129232359783,0.0,0.131946239338,0.00361850607392,0.0289480485914,0.0,0.0,0.0,0.00542775911088,0.0,0.0,0.0,0.000129232359783,0.0,0.000258464719566,0.00129232359783,0.0,0.00129232359783,0.0,0.0,0.0,0.0,0.0,0.00245541483587,0.0,0.0,0.0,0.0,0.0,0.0,0.00271387955544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000129232359783,0.00865856810545,0.00672008270871,0.0,0.0,0.0,0.000258464719566,0.0,0.0,0.0,0.000258464719566,0.0,0.0,0.000129232359783,0.0,0.00245541483587,0.0,0.0,0.0,0.0722408891186,0.0,0.00168002067718,0.0,0.0,0.000516929439132,0.0,0.0,0.0,0.0,0.0,0.00361850607392,0.0,0.0,0.0,0.0,0.000129232359783,0.0,0.0,0.0,0.0,0.0,0.000129232359783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206678",0.0,0.00082605617182,0.0,0.000236016049091,0.00342223271182,0.0,0.211116355912,0.032216190701,0.0,0.0,0.00129808827,0.0,0.0,0.334552749587,0.000236016049091,0.00295020061364,0.0175831956573,0.0,0.0,0.00188812839273,0.0,0.0,0.000354024073637,0.0,0.00660844937456,0.0,0.302926599009,0.0166391314609,0.0136889308473,0.00295020061364,0.0,0.0,0.0,0.0,0.0,0.0,0.000590040122728,0.00118008024546,0.0,0.000354024073637,0.0,0.0,0.0,0.0,0.00165211234364,0.0,0.000118008024546,0.00106207222091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000590040122728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236016049091,0.000236016049091,0.0,0.0,0.0,0.0,0.0408307764928,0.0,0.0028321925891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000354024073637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000472032098183,0.0,0.0,0.0
"X206684",0.0,0.0,0.000132117849121,0.000396353547364,0.000264235698243,8.80785660809e-05,0.33487470824,0.0018496498877,0.0,0.00154137490642,4.40392830405e-05,0.0,0.0,0.16598405778,0.0487514863258,8.80785660809e-05,0.00171753203858,0.000176157132162,0.0,0.0,0.0,0.0,0.00330294622804,0.0,0.000308274981283,0.0,0.420266878055,0.000220196415202,0.00220196415202,0.00092482494385,0.0,0.0,0.0,0.0,0.00132117849121,0.0,0.0,8.80785660809e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000308274981283,0.000264235698243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147091205355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000132117849121,0.0,4.40392830405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206683",0.0,4.35331504941e-05,0.0,0.0,0.000304732053459,0.0,0.366897392364,0.00226372382569,0.0,0.00134952766532,0.000565930956423,0.0,0.0,0.217839885072,0.0188063210135,0.000130599451482,0.0115362848809,0.0,0.0,0.0,0.0,0.0,0.000304732053459,0.0,0.00187192547125,0.0,0.362021679509,0.0,0.00235079012668,0.00169779286927,0.0,0.0,0.0,0.0,0.00095772931087,0.0,0.000174132601976,0.000217665752471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000217665752471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00774890078795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.70663009882e-05,0.0,0.0,0.0,0.0,0.0,0.000348265203953,0.0,0.00226372382569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206713",0.0,0.0,0.0,0.000381533765738,9.53834414346e-05,0.0,0.072205265166,9.53834414346e-05,0.000381533765738,0.0,4.76917207173e-05,4.76917207173e-05,0.0,0.183899275086,0.00133536818008,0.00476917207173,0.00152613506295,0.0,0.0,4.76917207173e-05,0.0,0.0,0.000381533765738,0.0,0.000667684090042,0.0,0.619276993514,0.09109118657,0.0010969095765,0.00147844334224,0.0,0.0,0.00543685616177,0.0,0.00100152613506,0.0,0.000190766882869,0.0,0.0,0.0,0.0,9.53834414346e-05,0.0,0.0,0.0,0.0,0.000381533765738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016692102251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118275467379,0.0,0.0,0.0,0.0,0.00052460892789,0.0,4.76917207173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.0,0.0,0.0,0.000414078674948,4.60087416609e-05,0.0,0.0517598343685,0.000138026224983,0.0,0.0,4.60087416609e-05,0.0,0.0,0.313871635611,0.000736139866575,0.00340464688291,0.00818955601564,0.0,0.0,0.0,0.0,0.0,0.000414078674948,0.0,0.00234644582471,0.0,0.545801702323,0.0432022084196,0.00115021854152,0.00427881297447,0.0,0.0,0.00676328502415,0.0,0.00280653324132,0.0,0.000276052449965,0.000138026224983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000184034966644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00174833218311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60087416609e-05,0.0111801242236,0.000138026224983,0.0,0.0,0.0,0.000736139866575,0.0,9.20174833218e-05,0.0,0.0,0.0,0.0,4.60087416609e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60087416609e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206732",0.0,0.0,0.0192694728729,0.452147475699,0.0017984841348,0.0,0.230548537661,0.0026977262022,8.56421016572e-05,0.0,0.0,0.0,0.0,0.120883826489,0.0148160835867,4.28210508286e-05,0.004496210337,0.001498736779,0.0,0.0,0.0,0.0,4.28210508286e-05,0.0,0.000428210508286,0.0,0.0781055967113,0.0161007151115,0.0,0.00111334732154,0.0,0.0,0.000342568406629,0.0,0.0144735151801,0.0,0.0,0.0,0.0,0.000256926304972,0.0,4.28210508286e-05,0.0,0.0,0.0,0.0,0.0156296835524,8.56421016572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149445467392,0.0,0.0,0.0,0.0,0.0,0.0,4.28210508286e-05,0.0,0.0,0.000171284203314,0.0,0.0,0.0,8.56421016572e-05,0.0,4.28210508286e-05,0.0,0.00252644199889,0.0,0.0,0.0,8.56421016572e-05,0.0,0.0,0.0,0.0,0.0,4.28210508286e-05,0.00616623131932,0.0,0.0,0.0,0.0,0.000856421016572,0.0,8.56421016572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28210508286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206731",0.0,0.0,0.0169718081659,0.410604342191,0.000324044069994,0.0,0.293786454958,0.00141769280622,8.10110174984e-05,0.0,0.000121516526248,0.0,0.0,0.117709008425,0.0106934543098,0.000567077122489,0.00615683732988,0.000405055087492,0.0,0.0,0.0,0.0,0.000729099157485,0.0,0.000405055087492,0.0,0.0784996759559,0.0076555411536,0.0108554763448,0.000121516526248,0.0,0.0,0.0,0.0,0.0157971484122,0.0,0.000121516526248,8.10110174984e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00842514581983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011301036941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05055087492e-05,0.0,0.0,0.0,0.000121516526248,0.0,0.0,0.0,0.00105314322748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00461762799741,0.0,0.0,0.0,0.0,4.05055087492e-05,0.0,0.00129617627997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206754",0.0,0.000378143316317,0.00392323690679,0.00661750803555,0.000614482889015,0.0,0.120391378332,0.0279826054074,0.000189071658158,0.0,0.0,0.0,0.000189071658158,0.353989411987,0.0205142749102,0.00397050482133,0.0339383626394,0.000141803743619,0.0,0.0,0.0,0.0,0.000141803743619,0.0,0.00557761391567,0.0,0.348789941388,0.00633390054831,0.00401777273587,4.72679145396e-05,0.0,4.72679145396e-05,0.0266118358858,0.0,0.00950085082246,0.0,0.000141803743619,4.72679145396e-05,0.0,0.0,0.0,0.0,0.000898090376253,0.0,0.000189071658158,0.0,0.00137076952165,4.72679145396e-05,0.0,0.000378143316317,0.0,0.000661750803555,0.0,0.00165437700889,0.0,0.00519947059936,0.0,0.0,0.0,0.0,0.0,0.00184344866704,0.0,0.0,0.0,0.0,0.0,0.0,0.000614482889015,0.000330875401777,4.72679145396e-05,0.000709018718094,0.000378143316317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72679145396e-05,0.0,0.0,0.0075155984118,0.0,0.0,0.0,0.0,0.00245793155606,0.0,0.0,0.0,0.0,0.000472679145396,0.0,0.0,0.0,0.0,4.72679145396e-05,0.0,0.0,0.0,0.0,0.0,0.000236339572698,0.0,0.0,0.000330875401777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45358290792e-05,0.0,0.0,0.000189071658158,0.000189071658158
"X206762",0.0,0.000299329501916,0.0,0.00095785440613,0.0,0.0,0.0610033524904,0.0663314176245,0.00269396551724,0.0,0.00233477011494,0.0,0.0,0.399724616858,0.000359195402299,0.0249042145594,0.0153256704981,0.0,0.0,0.0,0.0,0.0,0.00221503831418,0.0,0.00287356321839,0.0,0.344288793103,0.0095785440613,0.00131704980843,0.00095785440613,0.0,0.0,0.000658524904215,0.0,0.00323275862069,0.0,0.000239463601533,0.0,0.0,0.000658524904215,0.0,0.00287356321839,0.0,0.0,0.0,0.0,0.00131704980843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98659003831e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010775862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544779693487,0.0,0.000239463601533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206761",0.0,0.0,0.0,0.000340759040763,0.0,0.0,0.0462580397836,0.0452357626613,4.25948800954e-05,0.0,0.000127784640286,0.0,0.0,0.28998594369,0.00102227712229,0.0198066192444,0.00494100609107,0.0,0.0,0.0,0.0,4.25948800954e-05,0.000170379520382,0.0,0.00391872896878,0.0,0.520935383567,0.0149933977936,0.00149082080334,0.000255569280572,0.0,0.0,0.000511138561145,0.0,0.00442986752992,4.25948800954e-05,4.25948800954e-05,4.25948800954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000340759040763,8.51897601908e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000937087362099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51897601908e-05,0.0,0.0,0.0,0.0,0.0,0.0435745623376,0.0,0.000212974400477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000127784640286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
